",""x"""
1,0.999552786545861
2,0.00357768875066061
3,-0.562454430219731
4,0.227199306924417
5,1.50945629852171
6,1.02852272509824
7,5.48473857281199
8,5.49669068398629
9,6.50652299389427
10,16.8187097512472
11,15.7356800066947
12,16.3507788801182
13,24.6335579943698
14,16.4997748805294
15,27.0746397587002
16,43.0163027022278
17,33.7742303065612
18,36.7112546163359
19,66.0725585635775
20,87.3847305997785
21,65.3396977170895
22,38.2292776681348
23,59.4935003919939
24,67.420690733684
25,82.5367715745265
26,94.0599595280813
27,101.409942438475
28,142.39386124389
29,107.128206088824
30,114.996606796219
31,142.798563900588
32,94.543444206136
33,112.605361705119
34,133.6818592355
35,258.984895465406
36,183.668985222617
37,225.771128255688
38,257.12046095363
39,109.407033833284
40,149.337978702954
41,140.321000456234
42,130.694258968308
43,144.136602692833
44,179.336140963967
45,180.058974962489
46,173.026847276245
47,191.0724133057
48,176.505841434203
49,195.94016289872
50,198.457700042773
51,264.002201485093
52,254.972920960167
53,237.909324925325
54,248.542842128505
55,310.565282313276
56,277.164670674648
57,289.808175589559
58,437.536023799919
59,297.684541061823
60,400.756764363344
61,360.954663870912
62,509.078221679111
63,422.23129569662
64,440.075374619167
65,599.344854689839
66,425.914207687646
67,580.097150825613
68,546.981934346007
69,604.787075489831
70,660.1930599612
71,639.423127958585
72,651.364249289885
73,692.664841511491
74,670.025769983801
75,702.886177714668
76,686.534765812989
77,723.434930396692
78,697.914557695339
79,759.285276307031
80,953.696822874161
81,916.36628998925
82,860.690327720644
83,995.893597812812
84,1048.66767460742
85,1155.983682645
86,1255.27128502772
87,1395.85027432009
88,1230.35520520642
89,1186.0039056181
90,1363.76568596833
91,1409.36968305009
92,1628.82653678151
93,1513.14160384763
94,1456.36031855817
95,1382.48340955211
96,1466.20349279844
97,1437.0827490439
98,1526.19633956817
99,1565.18379612564
100,1579.70817854711
101,1815.94481829071
102,1976.81550736838
103,2030.77338040975
104,1917.17975865947
105,2100.13501735463
106,2744.25173350445
107,2761.21071991138
108,2449.83580124672
109,2944.02580373973
110,2623.55381465739
111,2509.9588317029
112,3308.29724652272
113,3193.6883207963
114,3563.19952077889
115,3914.33727097618
116,3308.9517643182
117,3491.07012728937
118,3160.78546668448
119,3817.72119229847
120,3985.14592344544
121,3419.37155431168
122,3998.41961363281
123,3719.80791529272
124,3434.62883366414
125,4102.08647024046
126,4004.04054932844
127,4777.24687622556
128,5915.97124839024
129,4673.83059903829
130,5194.70738013378
131,4541.49883020773
132,5168.2141448664
133,5452.08600270742
134,6640.11024910757
135,8010.03487156165
136,7609.14769909818
137,7211.82943636971
138,7029.50524331208
139,7301.4162272057
140,7297.14170881134
141,7780.85439781779
142,7333.29865773661
143,7408.45182552706
144,8043.82864158123
145,7926.83102349537
146,9400.37592216577
147,8698.34568399512
148,9414.08170195806
149,9677.19777494049
150,9924.20959526597
151,11118.1407395344
152,10068.6085344749
153,8663.7395815988
154,10484.4070501117
155,11239.1193742362
156,9644.04057696669
157,10297.9584609512
158,10537.9029995549
159,10201.2711865992
160,12004.8360443224
161,11687.0903502396
162,11288.6818398967
163,11741.4314727447
164,11500.6884131628
165,11789.99092604
166,9723.79634363014
167,11963.2039706025
168,12554.9094132252
169,11225.3802987378
170,10313.9144343803
171,10925.0027964611
172,9479.97860212173
173,10221.7672107637
174,10802.1185713981
175,9782.83678494154
176,10425.5839552292
177,9060.28868515237
178,9731.40478450223
179,8801.62888445846
180,7959.8950362305
181,9144.47000183644
182,8915.528695345
183,8530.9517087502
184,8735.82364410139
185,8567.93802251158
186,8334.49106789542
187,6711.58238408646
188,7762.31223874344
189,7629.99567268644
190,7447.81736727752
191,7842.25093375237
192,6987.1077970847
193,7614.54440218725
194,6308.93771483321
195,6840.38314449498
196,7623.29270106575
197,7157.56173059562
198,7023.82833974979
199,7619.12754335229
200,7027.33024578746
201,6062.05234660706
202,7204.25882564778
203,6704.64382821275
204,6616.22307513984
205,7398.62165102972
206,7318.58816373109
207,7166.30718083771
208,6040.36099852503
209,6280.25540918212
210,6083.34256559077
211,5773.89302871526
212,6309.70940519188
213,6328.01636925589
214,6691.71585954398
215,6871.9324061329
216,7276.12216630351
217,7572.12014074077
218,8008.25798486381
219,8004.80844261759
220,8219.67523771321
221,8481.14902318699
222,7935.16195665555
223,6395.78067714905
224,6705.88834411029
225,7020.80994418468
226,7599.58362752507
227,7251.96198829912
228,7126.25620857203
229,6943.25025380149
230,7663.3110092507
231,7650.72562395172
232,7961.83247507129
233,8564.42927159547
234,8329.81438235879
235,8427.84861307572
236,8824.86279481618
237,8432.22890463802
238,8631.91274748054
239,10320.4929550282
240,9613.15067196377
241,10482.1013914132
242,9707.66292661436
243,9769.48635753144
244,8015.41434751384
245,8622.61285718657
246,9892.50896780732
247,9001.67411265135
248,9300.9296733566
249,8068.80697077332
250,6764.57896241209
251,7818.35109731026
252,8280.91445831505
253,8179.75095454154
254,8641.8474481179
255,8269.04357291827
256,8080.89659175392
257,7253.7226649158
258,6722.98539510682
259,7152.53960625544
260,7304.36229708456
261,7634.26925316933
262,7239.33364201103
263,7708.49628475437
264,7066.4796685451
265,7360.70478424326
266,8260.07391478886
267,8573.27082992731
268,9421.85692589278
269,8917.90313397991
270,8925.48015825315
271,8773.28168116707
272,8319.26166870541
273,9154.65105436668
274,9056.90379921955
275,9114.70772124744
276,9559.58343166634
277,8965.46598070632
278,7384.8846796934
279,7994.87545389669
280,7869.59495058215
281,7646.70976242569
282,8763.64601898045
283,8017.5059727525
284,8548.69083449421
285,8718.72391602396
286,9361.09221225777
287,10898.3012362259
288,11097.1594136045
289,12259.2280849264
290,13021.7705992877
291,11534.478549378
292,11532.3890580863
293,11843.0021273628
294,11692.9573209362
295,11854.3096465232
296,11822.2924791872
297,11904.4374148577
298,11921.4065985283
299,11974.705760894
300,12008.1135170423
301,12052.2616795599
