",""x"""
1,-104.79003631372
2,0.658100250289604
3,2.49769910863299
4,2.46357917978546
5,4.44114392616736
6,5.42956984580888
7,7.08334080963496
8,11.1240397787016
9,14.858025015637
10,17.9062583477935
11,20.2639396383567
12,18.8756851532998
13,22.8686500210603
14,30.6741821667876
15,38.1901834781651
16,39.2442286515683
17,47.6743842784357
18,71.8271061345468
19,82.9459153249806
20,61.6041797614493
21,42.1856377216168
22,44.5517765879094
23,73.0470503128492
24,89.3363362760965
25,102.374078806642
26,124.860859041222
27,125.055510084666
28,124.245218012745
29,117.313064086784
30,111.320671964036
31,107.389904566346
32,103.497396922447
33,194.012549012779
34,220.633356986954
35,262.244869906555
36,224.920815219389
37,189.532655384096
38,129.429681799416
39,91.4424949260106
40,110.534490392372
41,128.414829238931
42,155.428053547871
43,175.418760302034
44,191.212338184087
45,183.500453025931
46,179.188536008195
47,185.462212465597
48,189.512549703349
49,234.616989054603
50,258.212282110277
51,272.979564713274
52,243.801880294409
53,274.793983238135
54,283.218271595083
55,309.641839877745
56,359.060289950895
57,364.968193466135
58,407.925690693346
59,343.071480019657
60,465.500166145622
61,441.166359831021
62,504.682150883912
63,489.641262404714
64,522.023325921945
65,546.594032484482
66,531.304625925686
67,603.40157870515
68,634.958544427293
69,679.137394869929
70,661.667942079579
71,682.709531231994
72,667.299691561221
73,705.711882826512
74,677.658294389832
75,716.578647347942
76,690.245584813214
77,744.145171077158
78,844.009416254201
79,965.51277591388
80,968.372975838515
81,959.986072995992
82,994.247274780494
83,1148.9890640537
84,1252.39395841064
85,1404.86725277168
86,1367.09212690951
87,1293.63486197849
88,1221.11681521946
89,1346.34545972457
90,1570.14658599254
91,1631.85860755736
92,1587.90838491268
93,1397.14100402038
94,1382.71136269575
95,1370.59283447719
96,1503.87907744212
97,1521.02569747556
98,1617.95560449612
99,1714.96814481639
100,1940.26075072927
101,2104.75809610065
102,2099.10945418846
103,2071.63417811609
104,2425.57934148853
105,2833.7234569711
106,2920.02683770808
107,2867.74359102773
108,2685.8509751876
109,2692.45363887086
110,2867.59984902384
111,3192.47303007922
112,3689.04789142663
113,3901.09479149049
114,3797.39443124799
115,3600.24892325529
116,3138.1680047447
117,3464.26529832534
118,3748.07709377397
119,3950.87620946282
120,3856.89974658254
121,3723.72821219379
122,3644.1791230175
123,3753.01158815441
124,3897.16899424525
125,4632.2574151782
126,5520.01339571931
127,5679.75988936116
128,5593.00662192308
129,4579.52975001333
130,4913.50629220623
131,4979.86714972481
132,6406.31287834072
133,7548.87188686834
134,8677.62294531501
135,8192.50133949475
136,7430.2105190585
137,6896.06222107585
138,7160.26056838503
139,7574.31429476212
140,7622.16928050873
141,7573.00031608818
142,7648.55837308654
143,7970.83394515038
144,9000.11908007934
145,9176.04560632608
146,9798.40280281943
147,9531.75911777058
148,10203.209838372
149,10718.5427106206
150,10961.2316659788
151,9754.61798186381
152,9481.21788456122
153,10083.2240859325
154,10888.5096743966
155,10536.1204941863
156,10056.4482481976
157,10267.9464340166
158,11338.5015376419
159,11843.1479001245
160,12233.4322202045
161,11715.8174265256
162,11537.3042089531
163,11651.1068889019
164,10636.8129830444
165,10918.1396727081
166,11398.0893340121
167,12492.1384085735
168,11130.6651547952
169,10396.2948531621
170,9195.36912983628
171,9896.95110905909
172,9725.44838819923
173,10423.4617162162
174,10162.4840462917
175,9500.22100877359
176,9245.37495350389
177,8654.93426645865
178,8215.03808136663
179,8041.36086964626
180,8462.31357518104
181,8809.7642911084
182,8674.2445750788
183,8374.51485359356
184,8312.42215977613
185,7238.26812905086
186,6976.1181068961
187,6726.91331493617
188,7569.15001888957
189,7500.57617049926
190,7343.52039106564
191,7186.65612426189
192,6556.91627742909
193,6489.25762238657
194,6636.73426125702
195,7317.92169136128
196,7270.03950453118
197,7317.67325376035
198,7016.88941329041
199,6617.18968267236
200,6332.55812202415
201,6348.03316981074
202,6756.3449952577
203,6896.62593826408
204,7235.81037522042
205,7398.24973517676
206,6603.69458863721
207,5953.71991191369
208,5477.01612109865
209,5646.47555359754
210,5770.91273096601
211,6107.05025628033
212,6536.56141661024
213,6854.20579823184
214,7210.56688092398
215,7545.36411791752
216,8022.43152277111
217,8188.35333776142
218,8384.14752335761
219,8410.7563574517
220,8289.53139584589
221,7121.43596946404
222,6252.89782913724
223,5921.14863773256
224,7057.4641941773
225,7399.26881214548
226,7532.99602934681
227,6835.29376360834
228,7245.93635235091
229,7374.38516977253
230,8143.34985293085
231,8295.14178117225
232,8706.25552587993
233,8576.46852555055
234,8741.41321590963
235,8538.07725851857
236,8718.6969876184
237,9405.36312741342
238,10044.4862934544
239,10832.3633413094
240,10140.1398109636
241,10095.4689559184
242,8433.31060141189
243,8262.53517714282
244,8247.15451257115
245,9476.23727497271
246,9499.29946516124
247,8664.44144723478
248,7094.22028636183
249,6696.18995679106
250,7102.68941868184
251,8304.67125108056
252,8688.88861466166
253,8578.06514409124
254,8250.54240663228
255,7494.02879083085
256,6669.17158159004
257,6368.13025014784
258,6709.77436161704
259,7410.25999368464
260,7480.60328894187
261,7630.82799536841
262,7160.98941303352
263,7311.68884260266
264,7509.41926374844
265,8508.99055860341
266,9376.37963855573
267,9593.67837597662
268,9346.14906223581
269,8799.69843355449
270,8408.04228337956
271,8582.47379425953
272,8857.81331742603
273,9305.16939859172
274,9428.2909149852
275,9298.97648068247
276,8178.98927672606
277,7438.4690540206
278,6977.0438548144
279,7576.2794764648
280,8091.03412194919
281,8312.61040435032
282,8614.83530832511
283,8531.84521598571
284,9195.06029338513
285,10322.6190821188
286,11509.8564362576
287,12598.9676342037
288,13302.1860998658
289,12955.5862917547
290,12955.5862917547
291,12119.9518739783
292,12227.855825945
293,12335.7597779117
294,12443.6637298783
295,12551.567681845
296,12659.4716338117
297,12767.3755857783
298,12875.279537745
299,12983.1834897117
300,13091.0874416783
